8940 errors
1113 warnings

Errors and warnings:

Severity	Code	Description	Project	File	Line	Suppression State
Error	CS0246	The type or namespace name 'ExternalResourceReference' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	560	Active
Error	CS0246	The type or namespace name 'ExternalResourceLoadContent' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	560	Active
Error	CS0246	The type or namespace name 'ExternalResourceReference' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	605	Active
Error	CS0246	The type or namespace name 'ExternalResourceLoadContent' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	605	Active
Error	CS0246	The type or namespace name 'ExternalResourceReference' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	639	Active
Error	CS0246	The type or namespace name 'ExternalResourceReference' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	683	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\ServerInterfaceExtensionsForRevitLinks.cs	28	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\ServerInterfaceExtensionsForRevitLinks.cs	29	Active
Error	CS0246	The type or namespace name 'IGetLocalPathForOpenCallback' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\ServerInterfaceExtensionsForRevitLinks.cs	39	Active
Error	CS0246	The type or namespace name 'ExternalResourceReference' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\ServerInterfaceExtensionsForRevitLinks.cs	45	Active
